label	list_id	aspect	n_truth	n_trans	wang_bma	ref	method	evset	track	clade	median_pident	My	recall
amphioxus.rbh.all	SYN_GO0030218	BP	40	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0030218	MF	9	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0032774	BP	50	50	0.908928223747486	amphioxus	rbh	all	fish	fish	50.6	650	0.3300970873786408
amphioxus.rbh.all	SYN_GO0032774	CC	20	24	0.7976688995005784	amphioxus	rbh	all	fish	fish	50.6	650	0.45
amphioxus.rbh.all	SYN_GO0032774	MF	14	7	0.8040759015270231	amphioxus	rbh	all	fish	fish	50.6	650	0.3571428571428571
amphioxus.rbh.all	SYN_GO0032991	BP	50	25	0.4786712203792041	amphioxus	rbh	all	fish	fish	50.6	650	0.1159420289855072
amphioxus.rbh.all	SYN_GO0032991	CC	28	13	0.7567769110673332	amphioxus	rbh	all	fish	fish	50.6	650	0.2142857142857142
amphioxus.rbh.all	SYN_GO0032991	MF	6	16	0.4723245547060183	amphioxus	rbh	all	fish	fish	50.6	650	0.1666666666666666
amphioxus.rbh.all	SYN_GO0033036	BP	50	45	0.825634973640689	amphioxus	rbh	all	fish	fish	50.6	650	0.225563909774436
amphioxus.rbh.all	SYN_GO0033036	CC	0	6	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0033993	BP	43	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0033993	MF	8	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0034654	BP	50	50	0.9043225776105795	amphioxus	rbh	all	fish	fish	50.6	650	0.3113207547169811
amphioxus.rbh.all	SYN_GO0034654	CC	20	24	0.7976688995005784	amphioxus	rbh	all	fish	fish	50.6	650	0.45
amphioxus.rbh.all	SYN_GO0034654	MF	14	7	0.8040759015270231	amphioxus	rbh	all	fish	fish	50.6	650	0.3571428571428571
amphioxus.rbh.all	SYN_GO0035107	BP	50	19	0.5912697814562992	amphioxus	rbh	all	fish	fish	50.6	650	0.0276243093922651
amphioxus.rbh.all	SYN_GO0035107	CC	0	4	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0035107	MF	6	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0035162	BP	50	41	0.6085995502910836	amphioxus	rbh	all	fish	fish	50.6	650	0.1204819277108433
amphioxus.rbh.all	SYN_GO0035162	CC	0	4	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0035162	MF	0	13	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0036094	BP	16	13	0.7179725555427394	amphioxus	rbh	all	fish	fish	50.6	650	0.5625
amphioxus.rbh.all	SYN_GO0036094	CC	1	1	0.4832214765100671	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0036094	MF	44	20	0.66821169706677	amphioxus	rbh	all	fish	fish	50.6	650	0.2272727272727272
amphioxus.rbh.all	SYN_GO0038023	BP	39	49	0.8292528374732036	amphioxus	rbh	all	fish	fish	50.6	650	0.6153846153846154
amphioxus.rbh.all	SYN_GO0038023	CC	11	14	0.6551540937353457	amphioxus	rbh	all	fish	fish	50.6	650	0.2727272727272727
amphioxus.rbh.all	SYN_GO0038023	MF	25	13	0.8818168391683318	amphioxus	rbh	all	fish	fish	50.6	650	0.48
amphioxus.rbh.all	SYN_GO0040008	BP	50	16	0.5702661752554423	amphioxus	rbh	all	fish	fish	50.6	650	0.028735632183908
amphioxus.rbh.all	SYN_GO0040008	CC	0	15	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0040008	MF	0	1	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0042221	BP	50	30	0.5976397903487272	amphioxus	rbh	all	fish	fish	50.6	650	0.1046511627906976
amphioxus.rbh.all	SYN_GO0042221	CC	6	2	0.7551506914656596	amphioxus	rbh	all	fish	fish	50.6	650	0.3333333333333333
amphioxus.rbh.all	SYN_GO0042221	MF	8	13	0.3966276078073499	amphioxus	rbh	all	fish	fish	50.6	650	0.125
amphioxus.rbh.all	SYN_GO0042995	BP	50	44	0.8133914111064434	amphioxus	rbh	all	fish	fish	50.6	650	0.2727272727272727
