track	ref	clade	method	evset	aspect	ic_bin	wang_bma	recall	f1	n_terms	median_pident
fish	medaka	fish	besthit	all	CC	shallow		0.4713873393339998	0.34730995360906375	10.114583333333334	70.4
fish	medaka	fish	besthit	all	MF	mid			0.0	0.0	70.4
fish	medaka	fish	besthit	all	MF	shallow		0.5293925649499677	0.3804614823508637	13.970297029702971	70.4
fish	medaka	fish	rbh	all	BP	mid			0.0	0.0	70.4
fish	medaka	fish	rbh	all	BP	shallow		0.34627966039459224	0.4133382660501163	125.15238095238095	70.4
fish	medaka	fish	rbh	all	CC	mid			0.0	0.0	70.4
fish	medaka	fish	rbh	all	CC	shallow		0.43041592285618946	0.3381385664498325	10.114583333333334	70.4
fish	medaka	fish	rbh	all	MF	mid			0.0	0.0	70.4
fish	medaka	fish	rbh	all	MF	shallow		0.47897420272251606	0.3710530767467579	14.39795918367347	70.4
fish	mouse	fish	besthit	all	BP	mid			0.0	0.0	62.6
fish	mouse	fish	besthit	all	BP	shallow		0.4720015259360455	0.3710196576584288	125.15238095238095	62.6
fish	mouse	fish	besthit	all	CC	mid			0.0	0.0	62.6
fish	mouse	fish	besthit	all	CC	shallow		0.3893877358999384	0.27554161566874	9.71	62.6
fish	mouse	fish	besthit	all	MF	mid			0.0	0.0	62.6
fish	mouse	fish	besthit	all	MF	shallow		0.5657629449001401	0.35907918648094456	13.833333333333334	62.6
fish	mouse	fish	besthit	exp	BP	mid			0.0	0.0	62.6
fish	mouse	fish	besthit	exp	BP	shallow		0.40586719294643714	0.37726458771501076	125.15238095238095	62.6
fish	mouse	fish	besthit	exp	CC	mid			0.0	0.0	62.6
fish	mouse	fish	besthit	exp	CC	shallow		0.4504544690199549	0.34552579768643676	10.440860215053764	62.6
fish	mouse	fish	besthit	exp	MF	mid			0.0	0.0	62.6
fish	mouse	fish	besthit	exp	MF	shallow		0.5790075766394233	0.43613654765477233	14.697916666666666	62.6
fish	mouse	fish	rbh	all	BP	mid			0.0	0.0	62.6
fish	mouse	fish	rbh	all	BP	shallow		0.4812522594832867	0.3873037877576485	125.15238095238095	62.6
fish	mouse	fish	rbh	all	CC	mid			0.0	0.0	62.6
fish	mouse	fish	rbh	all	CC	shallow		0.4244913569088174	0.2928158938657557	10.010309278350515	62.6
fish	mouse	fish	rbh	all	MF	mid			0.0	0.0	62.6
fish	mouse	fish	rbh	all	MF	shallow		0.5459260352175535	0.354999366659511	13.833333333333334	62.6
fish	mouse	fish	rbh	exp	BP	mid			0.0	0.0	62.6
fish	mouse	fish	rbh	exp	BP	shallow		0.4088152932327396	0.4134317328332185	125.15238095238095	62.6
fish	mouse	fish	rbh	exp	CC	mid			0.0	0.0	62.6
fish	mouse	fish	rbh	exp	CC	shallow		0.5348410170494423	0.38788655683988416	10.329787234042554	62.6
fish	mouse	fish	rbh	exp	MF	mid			0.0	0.0	62.6
fish	mouse	fish	rbh	exp	MF	shallow		0.5576558315146649	0.4539147674085799	15.172043010752688	62.6
fish	salmon	fish	besthit	all	BP	mid			0.0	0.0	73.1
fish	salmon	fish	besthit	all	BP	shallow		0.3530549973974547	0.4136395711204353	125.15238095238095	73.1
fish	salmon	fish	besthit	all	CC	mid			0.0	0.0	73.1
fish	salmon	fish	besthit	all	CC	shallow		0.42287205204110134	0.3262908937466653	10.221052631578948	73.1
fish	salmon	fish	besthit	all	MF	mid			0.0	0.0	73.1
fish	salmon	fish	besthit	all	MF	shallow		0.5380099870705549	0.4000060665455354	13.970297029702971	73.1
fish	salmon	fish	rbh	all	BP	mid			0.0	0.0	73.1
fish	salmon	fish	rbh	all	BP	shallow		0.33685112996899846	0.40383868083426705	125.15238095238095	73.1
fish	salmon	fish	rbh	all	CC	mid			0.0	0.0	73.1
fish	salmon	fish	rbh	all	CC	shallow		0.39123043015212533	0.31940055460209477	10.440860215053764	73.1
fish	salmon	fish	rbh	all	MF	mid			0.0	0.0	73.1
fish	salmon	fish	rbh	all	MF	shallow		0.487008173289319	0.38599751803820986	14.54639175257732	73.1
fish	seaurchin	fish	besthit	all	BP	mid			0.0	0.0	48.1
fish	seaurchin	fish	besthit	all	BP	shallow		0.25876171210198834	0.32379049361819384	125.15238095238095	48.1
fish	seaurchin	fish	besthit	all	CC	mid			0.0	0.0	48.1
fish	seaurchin	fish	besthit	all	CC	shallow		0.42236552917864983	0.3391948089070308	10.329787234042554	48.1
fish	seaurchin	fish	besthit	all	MF	mid			0.0	0.0	48.1
fish	seaurchin	fish	besthit	all	MF	shallow		0.49286807860820675	0.37558475730685087	14.252525252525253	48.1
fish	seaurchin	fish	rbh	all	BP	mid			0.0	0.0	48.1
fish	seaurchin	fish	rbh	all	BP	shallow		0.20823899352136024	0.28347652492744163	126.90291262135922	48.1
fish	seaurchin	fish	rbh	all	CC	mid			0.0	0.0	48.1
fish	seaurchin	fish	rbh	all	CC	shallow		0.40991263489412266	0.33719354187098655	10.408602150537634	48.1
fish	seaurchin	fish	rbh	all	MF	mid			0.0	0.0	48.1
fish	seaurchin	fish	rbh	all	MF	shallow		0.35675868122652477	0.33775574250059154	15.370786516853933	48.1
fish	sinocyclocheilus	fish	besthit	all	BP	mid			0.0	0.0	86.7
fish	sinocyclocheilus	fish	besthit	all	BP	shallow		0.36217100726160195	0.4228844744858296	125.15238095238095	86.7
fish	sinocyclocheilus	fish	besthit	all	CC	mid			0.0	0.0	86.7
fish	sinocyclocheilus	fish	besthit	all	CC	shallow		0.4205241930489267	0.3361961530354533	10.329787234042554	86.7
fish	sinocyclocheilus	fish	besthit	all	MF	mid			0.0	0.0	86.7
fish	sinocyclocheilus	fish	besthit	all	MF	shallow		0.5586092554333516	0.39951210167784085	13.970297029702971	86.7
fish	sinocyclocheilus	fish	rbh	all	BP	mid			0.0	0.0	86.7
fish	sinocyclocheilus	fish	rbh	all	BP	shallow		0.3407210853135866	0.4085602746618467	125.15238095238095	86.7
fish	sinocyclocheilus	fish	rbh	all	CC	mid			0.0	0.0	86.7
fish	sinocyclocheilus	fish	rbh	all	CC	shallow		0.3863977366692734	0.3203898748801312	10.440860215053764	86.7
fish	sinocyclocheilus	fish	rbh	all	MF	mid			0.0	0.0	86.7
fish	sinocyclocheilus	fish	rbh	all	MF	shallow		0.509127221688905	0.39173044753007424	14.252525252525253	86.7
